customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1780-XRFT,Female,0,No,No,65,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),92.31,6001.32,Yes
1004-GSQO,Male,0,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),105.28,4528.13,Yes
4839-HVXZ,Female,1,No,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,99.98,5500.4,Yes
4959-SCWQ,Female,0,No,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,37.85,2083.72,No
5735-RZPF,Female,0,No,No,65,No,No phone service,DSL,No,Yes,No,No,Yes,No,One year,No,Electronic check,56.33,3668.36,Yes
8440-GSQO,Male,1,Yes,No,32,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.52,3183.81,Yes
6823-HVXZ,Male,0,Yes,No,26,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),102.46,2665.5,No
4845-ZXTP,Male,0,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),53.51,1070.96,Yes
4556-IYEK,Female,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),45.12,1533.51,Yes
7322-FPJD,Male,0,No,Yes,6,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),106.01,632.34,Yes
2227-PTBJ,Female,0,Yes,No,13,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,79.48,1032.48,Yes
3508-KESG,Female,0,No,No,46,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),113.66,5230.43,Yes
6370-PTBJ,Female,1,Yes,No,26,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),93.95,2440.85,Yes
7316-BDHL,Male,1,No,Yes,58,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),97.49,5653.13,Yes
8817-IYEK,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),111.15,2661.81,Yes
8045-YUME,Male,1,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),38.3,807.38,Yes
7640-JBLV,Female,0,Yes,No,45,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,98.66,4437.65,Yes
2951-OQUY,Male,0,Yes,Yes,56,No,No phone service,DSL,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),42.26,2360.47,No
4629-DJVH,Female,0,No,Yes,53,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Electronic check,118.75,6305.54,No
8002-JBLV,Female,0,Yes,Yes,9,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),75.34,678.55,No
2797-LHZR,Male,0,Yes,No,48,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Electronic check,101.57,4876.26,No
6759-WOYI,Male,0,No,No,67,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,103.05,6913.2,No
4612-HVXZ,Female,0,Yes,No,21,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),80.37,1692.19,No
4170-UIKM,Male,0,No,No,62,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,82.73,5125.49,Yes
9837-LHZR,Male,0,Yes,Yes,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,50.83,1621.8,No
8526-FPJD,Female,1,Yes,Yes,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,46.6,414.11,Yes
2387-CGOW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,106.06,4984.91,Yes
4398-UIKM,Male,0,Yes,Yes,41,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,104.45,4270.07,No
2028-ZXTP,Male,0,Yes,No,69,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,111.91,7721.62,No
9526-YUME,Female,0,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.81,340.55,Yes
5198-JBLV,Female,0,Yes,No,14,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),86.3,1208.15,No
5378-ZXTP,Male,0,Yes,No,64,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Mailed check,72.48,4644.27,No
5346-SCWQ,Female,0,No,No,59,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,82.83,4879.85,No
6455-KESG,Male,1,Yes,No,42,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,75.82,3182.32,No
1555-SCWQ,Male,0,No,No,64,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,65.58,4197.15,No
1935-BDHL,Female,1,No,No,16,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,77.85,1247.81,Yes
8956-ZXTP,Male,0,No,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),46.25,2812.8,No
1441-UIKM,Male,0,No,No,45,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,102.78,4621.49,Yes
7394-CGOW,Male,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,105.24,6103.13,Yes
6552-DJVH,Female,0,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),47.19,327.99,Yes
3476-CGOW,Female,0,No,No,60,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),93.06,5581.73,No
5887-BDHL,Female,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,44.22,173.64,Yes
7663-DJVH,Male,0,Yes,No,66,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,92.44,6105.21,Yes
9811-IYEK,Male,0,Yes,No,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,93.85,5632.54,No
6806-LHZR,Male,0,Yes,Yes,20,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,81.28,1630.74,Yes
9737-OQUY,Male,0,No,No,17,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,85.22,1442.93,Yes
3292-NNNN,Male,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),39.52,634.2,No
2685-KESG,Female,0,No,Yes,10,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,85.72,853.86,No
2136-GSQO,Female,0,No,No,37,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,85.99,3183.7,Yes
3309-ZXTP,Male,0,No,Yes,42,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,99.05,4155.83,No
9314-MKGC,Female,1,No,No,45,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),100.85,4538.53,Yes
8742-QWIU,Male,0,No,Yes,62,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),106.24,6593.35,Yes
4420-GSQO,Male,0,Yes,No,37,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,118.75,4395.6,No
2970-JBLV,Female,0,Yes,No,50,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.34,4213.59,No
5491-LHZR,Male,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,41.28,1035.09,No
4327-MKGC,Female,0,Yes,No,48,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,71.17,3416.5,No
4356-PTBJ,Male,0,No,Yes,7,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,103.37,726.14,Yes
2581-SCWQ,Male,0,Yes,No,17,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,116.46,1976.77,Yes
6300-BDHL,Male,1,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),101.08,6972.97,No
2898-BDHL,Male,1,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,42.88,2875.19,Yes
7502-DJVH,Female,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),40.56,323.19,No
4408-PTBJ,Male,0,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,49.71,99.8,Yes
9554-XRFT,Female,0,No,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,44.99,850.13,Yes
5632-BDHL,Female,0,No,Yes,52,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,98.67,5129.45,Yes
6014-KESG,Female,0,Yes,No,60,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),118.75,7126.7,No
5196-NNNN,Female,0,No,No,37,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,91.08,3368.85,Yes
1846-QWIU,Female,1,Yes,No,2,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.3,167.19,Yes
2635-PTBJ,Male,0,Yes,Yes,46,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,94.54,4346.19,Yes
1825-RZPF,Female,0,No,No,45,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),88.74,3992.98,Yes
8330-YUME,Male,0,No,No,0,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,85.28,0.0,Yes
2790-JBLV,Male,1,Yes,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),32.64,1664.46,No
4962-PTBJ,Female,0,Yes,Yes,36,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),85.88,3103.99,No
4385-TFDB,Male,0,Yes,No,49,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),77.74,3809.9,No
4462-SCWQ,Female,0,No,No,52,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,82.08,4271.31,Yes
3384-CGOW,Female,1,No,No,58,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),118.26,6861.28,Yes
8641-ZXTP,Female,0,Yes,Yes,29,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.22,2032.26,Yes
9592-AAAA,Male,1,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),36.97,1965.72,No
2442-SCWQ,Male,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),41.12,2053.29,Yes
1947-NNNN,Female,1,Yes,No,54,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,103.68,5598.25,No
6972-EMCS,Male,0,Yes,No,28,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.03,2719.3,Yes
4423-IYEK,Male,0,No,Yes,8,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),117.65,941.79,Yes
9235-GSQO,Female,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,118.75,1071.58,No
6480-HVXZ,Female,0,Yes,Yes,67,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),102.01,6833.96,Yes
9737-CGOW,Female,0,Yes,Yes,12,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,102.8,1236.48,Yes
8987-PTBJ,Male,0,No,No,0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),104.67,0.0,Yes
2325-EMCS,Female,0,Yes,No,44,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,91.02,4007.2,Yes
9106-GSQO,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,40.87,2128.16,No
1355-FPJD,Male,1,No,No,57,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),66.83,3803.53,Yes
6695-HVXZ,Female,0,Yes,Yes,12,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,95.56,1151.98,No
2798-DJVH,Female,0,No,No,40,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,84.33,3371.79,No
4939-VLRX,Female,0,Yes,No,16,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,86.49,1375.37,No
7381-WOYI,Male,1,Yes,No,31,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),117.61,3653.79,Yes
9780-DJVH,Female,0,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,38.29,732.44,Yes
7040-WOYI,Male,1,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,39.5,1500.94,No
2980-NNNN,Female,0,No,No,10,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,86.02,859.55,Yes
6708-DJVH,Female,0,No,No,64,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),96.6,6184.82,Yes
2480-IYEK,Male,1,No,Yes,25,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.78,2216.38,Yes
3023-PTBJ,Male,1,Yes,No,19,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Mailed check,80.22,1523.86,Yes
6777-XRFT,Female,0,No,Yes,2,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,73.75,151.78,Yes
4161-RZPF,Male,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,47.98,770.1,Yes
5167-DJVH,Female,1,Yes,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),44.5,2272.58,No
4580-HVXZ,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,93.71,573.86,Yes
6522-JBLV,Male,0,No,Yes,71,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,96.22,6837.16,No
1454-WOYI,Male,0,No,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,102.5,4413.66,No
4510-LHZR,Female,0,No,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),52.0,0.0,Yes
5734-WOYI,Male,0,Yes,No,70,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,75.97,5327.28,No
9350-LHZR,Female,0,No,No,72,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),73.3,5276.63,No
4814-QWIU,Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),109.36,2849.98,Yes
7261-IYEK,Female,0,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,45.36,1083.04,Yes
4490-HVXZ,Female,1,Yes,No,49,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),76.11,3731.14,Yes
9386-EMCS,Female,0,No,No,38,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,94.02,3572.62,No
4170-SCWQ,Male,0,No,No,34,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),69.07,2355.91,No
1654-VLRX,Female,0,No,No,42,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,76.47,3208.89,No
5752-UIKM,Male,1,Yes,No,0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Electronic check,87.15,0.0,No
3725-VLRX,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,80.23,1051.72,No
3451-UIKM,Male,0,No,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,41.99,2943.36,No
7251-TFDB,Female,1,No,Yes,37,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Credit card (automatic),83.61,3086.8,Yes
5225-KESG,Female,0,Yes,No,20,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,101.62,2033.04,Yes
7697-GSQO,Female,0,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,37.3,1004.67,Yes
6842-NNNN,Female,0,Yes,No,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,48.4,2368.81,Yes
3258-OQUY,Female,1,No,No,12,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,95.62,1153.23,Yes
7915-MKGC,Female,0,No,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,48.29,3292.76,No
5242-UIKM,Female,0,No,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,41.02,622.34,No
4239-JBLV,Male,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),41.27,908.04,No
